Component [HDS_SMOOP];MAX Leanness default (Instruction);"MAX Throughput, operations / second";MIN Cohesion LCOM3 (entry class);MIN Efferent Coupling (entry class)
a8333464-f9c1-4a4f-9082-3952355a3ac7;0.9769820971867008;232460.14809341534;0.8888888888888888;0
d9458864-9e7f-4646-bf56-2a423955027a;1;228280.70522361397;0.6666666666666666;0
900b864d-76ad-409e-a55f-df8673faa654;0.5565031982942431;233349.6264868502;0.75;0
72ef6ebf-6831-42f0-9f16-2284d589c93e;0.0038757686941243348;228791.26630661395;0.6;1
74c5d20b-febc-4805-ac29-568bbefb2df3;0.14352469959946595;234235.84530232582;0.8194444444444445;2
943f006e-47f9-4b8b-a611-8293a1e05831;0.9467084639498433;233268.29024891107;0.7142857142857143;0
a062c1ab-037e-4d09-b750-e401aa16abb5;0.6929824561403509;234136.21617726414;0.7777777777777778;0
ffe33146-774d-4836-947c-3c5eab854b40;1;226823.94473262248;0.6666666666666666;0
e06e39e6-00bf-47c3-b788-5b9f5223b1d8;0.5517970401691332;229603.0741680297;0.75;0
ee4999bc-d90b-4df6-9fe2-de56a837c5fe;0.9467084639498433;228902.28869148795;0.7142857142857143;0
08680ba9-9c19-46c6-afa2-d631ff2a4bc7;0.46017699115044247;233051.55503789947;0.7272727272727273;0
f0a67cb5-1b03-4f0b-94e8-524c890926c8;0.6929824561403509;233581.15903499402;0.7777777777777778;0
f8b9df0b-da0e-4f47-a997-702c488987c3;0.6435845213849287;231009.06899028673;0.7692307692307693;0
8f3def1a-1332-4d04-83b4-f92c10f721b0;1;226632.39162311208;0.6666666666666666;0
41d1fa9b-b8a9-4929-bb73-d23baea5bf38;0.4619883040935672;229360.55599195248;0.7692307692307693;1
450df101-fd22-48c6-855a-45074cb11713;0.6929824561403509;233443.27175717236;0.7777777777777778;0
19739217-a677-4c80-b0a9-3a2617015d69;1;226556.9034644485;0.75;0
6dfcfe97-4b69-4649-bf8e-b4f80aeb8215;1;204754.73542760377;0.6666666666666666;0
c0dce88c-1c16-4868-8924-1df10f9094a3;0.9475308641975309;226533.03979964647;0.7142857142857143;1
c8519d21-64c5-4e65-adad-f8e63342efea;0.9467084639498433;225966.13380584662;0.7142857142857143;0
b185f537-d0a7-46a1-bfc0-d7312b280ac8;0.6929824561403509;232370.15388504113;0.7777777777777778;0
40e43e25-0a3e-4eb1-a93a-1c0c959fdf0d;0.890625;226559.71889202754;0.8571428571428571;1
f97b7730-b49a-487c-a1e3-71db742901d8;0.9769820971867008;225279.52094871766;0.8888888888888888;0
1dcf7560-daa2-4646-8954-3d588cfcca9e;1;204653.14080506307;0.6666666666666666;0
26ad6f28-2293-4a0a-8c49-e373e5127e6a;0.6795698924731183;232207.43544777838;0.7777777777777778;0
5a01a3ff-8e38-4a7a-979d-c2309a1ae9b8;0.9467084639498433;225629.9408756999;0.7142857142857143;0
3884eb95-31f8-438b-a6e9-afa69d5e2c03;0.6929824561403509;228589.03184734733;0.7777777777777778;0
91957617-81b2-4b7c-a7a1-12dfee7fa703;1;201007.93406610927;0.6666666666666666;0
ec25445a-5f9f-480c-907a-cfd2615d8c94;0.9455445544554455;225308.7647691442;0.8333333333333333;0
4b00b6f1-a730-4cf5-9331-de0ef76184d9;0.5565031982942431;221547.85819825664;0.75;0
59c912bf-b0ae-4013-983e-f56dc8acfc83;0.5517970401691332;223435.8997402092;0.75;0
9dea3624-583e-4964-add5-f0417b65c4d2;0.6929824561403509;227902.67693803794;0.7777777777777778;0
ea2b4610-d673-4dea-a952-4abf2c438abb;0.06139136998364574;229366.0220211682;0.8125;3
d6c26c67-da4c-4573-a349-7d885dfdbe03;1;198497.60981769377;0.6666666666666666;0
568a4fcb-d28d-4606-aa5c-e98d7058579d;0.6929824561403509;227898.65856376447;0.7777777777777778;0
f6f4058a-1ca1-4bbe-a65d-f2d45bf78b08;0.10465116279069768;227859.75506160772;1.1428571428571428;1
ea169dec-2e91-4a4f-a5bb-0874704b36a8;0.6929824561403509;227193.23205517745;0.7777777777777778;0
e60616dc-b318-4b83-828f-6883c27251ae;0.6929824561403509;226782.91694064945;0.7777777777777778;0
1c5395db-afce-4277-85b0-1ad6285200ed;0.6383838383838384;226905.6439742758;0.8095238095238095;0
2ecca012-abd8-4cfe-a667-686b26cf035f;0.6929824561403509;226149.5123844027;0.7777777777777778;0
22f60b8c-0694-449e-9502-84e46114f110;0.14677194612169067;226684.90385275526;0.8333333333333334;1
fbfee1a6-87a9-492b-9ba4-89465129f476;0.6929824561403509;226079.72220547558;0.7777777777777778;0
11097180-e9f6-4468-9bd3-05050bfb6119;0.6810344827586207;220599.11672309256;0.7948717948717949;0
dff5b754-3da8-4a9c-94da-4904cad029c9;1;n/a;0.6666666666666666;0
